Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
327,5,16,Cow Wow Cereal Milk,No,Food and Beverage,Male,,,,,,,,,,,,0,,
328,5,17,Spy Escape and Evasion,Yes,Children / Education,Male,"1,50,000",45%,"3,33,333",,,,,1,,,,1,"1,50,000",
329,5,17,Southern Culture Artisan Foods,Yes,Food and Beverage,Female,"1,00,000",38%,"2,63,158",1,,,,,,,,1,"1,00,000",
330,5,17,DDP Yoga,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
331,5,17,Moberi,No,Food and Beverage,Male,,,,,,,,,,,,0,,
332,5,18,Bambooee,Yes,Lifestyle / Home,Mixed Team,"2,00,000",10%,"20,00,000",,,1,,,,,,1,"2,00,000",
333,5,18,Buzzy4Shots,No,Healthcare,Female,,,,,,,,,,,,0,,
334,5,18,ZipIt,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
335,5,18,Cheek'd,No,Software / Tech,Female,,,,,,,,,,,,0,,
336,5,19,U-Lace,Yes,Fashion / Beauty,Male,"2,00,000",35%,"5,71,429",,1,,,,,,,1,"2,00,000",
337,5,19,RevoLights,Yes,Fitness / Sports,Male,"3,00,000",10%,"30,00,000",,,,1,,,,,1,"3,00,000",
338,5,19,Squeeky Knees,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
339,5,19,The Buffer Bit,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
340,5,20,Henry's Humdingers,Yes,Food and Beverage,Male,"3,00,000",75%,"4,00,000",,1,,1,,,,,2,"1,50,000",
341,5,20,Boo Boo Goo,Yes,Healthcare,Mixed Team,"1,00,000",25%,"4,00,000",,,,,,1,,,1,"1,00,000",
342,5,20,Iretron,Yes,Software / Tech,Male,"1,00,000",20%,"5,00,000",1,1,,,,,,,2,"50,000",
343,5,20,Define Bottle,No,Food and Beverage,Male,,,,,,,,,,,,0,,
344,5,21,Packback Books,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
345,5,21,Chapul,Yes,Food and Beverage,Male,"50,000",15%,"3,33,333",,1,,,,,,,1,"50,000",
346,5,21,Garage Door Lock,Yes,Lifestyle / Home,Male,"2,75,000",35%,"7,85,714",,,,,1,,,,1,"2,75,000",
347,5,21,MorningHead,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
348,5,22,Plated,Yes,Food and Beverage,Male,"5,00,000",6%,"89,92,806",,1,,,,,,,1,"5,00,000",
349,5,22,Monkey Mat,Yes,Lifestyle / Home,Mixed Team,"1,00,000",35%,"2,85,714",,1,1,,,,,,2,"50,000",
350,5,22,The Paint Brush Cover,Yes,Lifestyle / Home,Male,"1,00,000",20%,"5,00,000",,,1,,,,,,1,"1,00,000",
351,5,22,Kodiak Cakes,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
352,5,23,Velocity Signs,Yes,Business Services,Male,"2,25,000",30%,"7,50,000",,1,,1,,1,,,3,"75,000",
353,5,23,Happy Feet,Yes,Fashion / Beauty,Male,"3,75,000",25%,"15,00,000",,,,,,,,,0,#DIV/0!,
354,5,23,Hold Your Haunches,Yes,Fashion / Beauty,Female,"1,00,000",40%,"2,50,000",1,,1,,,,,,2,"50,000",
355,5,23,Lord Nut Levington,No,Food and Beverage,Male,,,,,,,,,,,,0,,
356,5,24,Fun Time Express,Yes,Children / Education,Male,"1,25,000",20%,"6,25,000",,,1,,,1,,,2,"62,500",
357,5,24,PowerPot,Yes,Food and Beverage,Male,"2,50,000",12%,"20,83,333",,1,,,,,,,1,"2,50,000",
358,5,24,Quickstop Fire Sprinkler Tools,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
359,5,24,Taylor Robinson Music,No,Software / Tech,Male,,,,,,,,,,,,0,,
360,5,25,ZooBean,Yes,Children / Education,Mixed Team,"2,50,000",30%,"8,33,333",,1,,,,,,,1,"2,50,000",
361,5,25,iLumi,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
362,5,25,Fort Magic,No,Children / Education,Female,,,,,,,,,,,,0,,
363,5,25,Intelli-Stopper Technology,No,Food and Beverage,Male,,,,,,,,,,,,0,,
364,5,26,Rugged Maniac,Yes,Fitness / Sports,Male,"17,50,000",25%,"70,00,000",,1,,,,,,,1,"17,50,000",
365,5,26,Cerebral Success,Yes,Healthcare,Male,"75,000",40%,"1,87,500",1,,,,,,,,1,"75,000",
366,5,26,Mo's Bows,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
367,5,26,Crio,No,Food and Beverage,Male,,,,,,,,,,,,0,,
368,5,27,Angellift,Yes,Fashion / Beauty,Male,"5,00,000",15%,"33,33,333",,,1,,,,,,1,"5,00,000",
369,5,27,HangEase,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
370,5,27,The Bouqs Company,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
371,5,27,Susty Party,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
372,5,28,Oru Kayak,Yes,Fitness / Sports,Male,"5,00,000",25%,"20,00,000",,,,1,,,,,1,"5,00,000",
373,5,28,Bon Affair,Yes,Food and Beverage,Female,"1,50,000",35%,"4,28,571",,1,,,,,,,1,"1,50,000",
374,5,28,Cinnaholic,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
375,5,28,Hargitt Marine Services,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
376,5,29,Foot Fairy,Yes,Software / Tech,Female,"1,00,000",40%,"2,50,000",,1,,,,,,,1,"1,00,000",
377,5,29,BZbox,Yes,Lifestyle / Home,Female,"50,000",40%,"1,25,000",,,1,,,,,,1,"50,000",
378,5,29,Tie-Not,No,Children / Education,Male,,,,,,,,,,,,0,,
379,5,29,Baker's Edge,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
380,6,1,Sleeping Baby,Yes,Children / Education,Mixed Team,"2,00,000",20%,"10,00,000",,,,,1,,,,1,"2,00,000",
381,6,1,Bombas,Yes,Fashion / Beauty,Male,"2,00,000",18%,"11,42,857",,,,,1,,,,1,"2,00,000",
382,6,1,Hammer & Nails,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
383,6,1,Amber,No,Software / Tech,Male,,,,,,,,,,,,0,,
384,6,2,Kronos,Yes,Fitness / Sports,Male,"1,50,000",30%,"5,00,000",,,,1,,,,,1,"1,50,000",
385,6,2,Roominate,Yes,Children / Education,Female,"5,00,000",5%,"1,00,00,000",,1,1,,,,,,2,"2,50,000",
386,6,2,The Floating Mug Co.,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
387,6,2,Wedding Wagon,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
388,6,3,Heart Pup,Yes,Pet Products,Female,"50,000",40%,"1,25,000",,,,,1,,,,1,"50,000",
389,6,3,SoapSox,No,Children / Education,Male,,,,,,,,,,,,0,,
390,6,3,Ninja Cards,No,Children / Education,Male,,,,,,,,,,,,0,,
391,6,3,DrumPants,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
392,6,4,Paper Box Pilots,Yes,Children / Education,Male,"35,000",50%,"70,000",,,,1,,,,,1,"35,000",
393,6,4,Reviver,Yes,Lifestyle / Home,Male,"1,50,000",15%,"10,00,000",,,1,,,,,,1,"1,50,000",
394,6,4,FunCakes Rental,No,Food and Beverage,Female,,,,,,,,,,,,0,,
395,6,4,Table Jacks,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
396,6,5,The Red Dress Boutique,Yes,Fashion / Beauty,Mixed Team,"12,00,000",20%,"60,00,000",,1,,1,,,,,2,"6,00,000",
397,6,5,SunStaches,Yes,Fashion / Beauty,Male,"3,00,000",20%,"15,00,000",,,,,1,,,,1,"3,00,000",
398,6,5,Jungle JumpaRoo,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
399,6,5,The Caddy Girls,No,Fitness / Sports,Female,,,,,,,,,,,,0,,
400,6,6,Honeyfund,Yes,Software / Tech,Mixed Team,"4,00,000",n/a,,,,,,,1,,,1,"4,00,000",three times return from the transaction revenue
401,6,6,BeatBox Beverages,Yes,Food and Beverage,Mixed Team,"10,00,000",33%,"30,30,303",,1,,,,,,,1,"10,00,000",
402,6,6,Oilerie USA,No,Food and Beverage,Male,,,,,,,,,,,,0,,
403,6,6,EmergenSee,No,Software / Tech,Male,,,,,,,,,,,,0,,
404,6,7,Myself Belts,Yes,Children / Education,Female,"75,000",25%,"3,00,000",,,,,1,,,,1,"75,000",
405,6,7,Titin,Yes,Fitness / Sports,Male,"5,00,000",20%,"25,00,000",,,,,1,,,,1,"5,00,000",
406,6,7,SingTrix,No,Children / Education,Male,,,,,,,,,,,,0,,
407,6,7,Beardbrand,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
408,6,8,The Natural Grip,Yes,Fitness / Sports,Female,"1,25,000",25%,"5,00,000",,,,1,,,,,1,"1,25,000",
409,6,8,Bottle Breacher,Yes,Food and Beverage,Male,"1,50,000",20%,"7,50,000",,1,,,,1,,,2,"75,000",
410,6,8,Man-Pack,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
411,6,8,Priority One Canine,No,Pet Products,Mixed Team,,,,,,,,,,,,0,,
412,6,9,Heidi Ho,Yes,Food and Beverage,Female,"1,25,000",30%,"4,16,667",,,1,,,,,,1,"1,25,000",
413,6,9,Squatty Potty,Yes,Lifestyle / Home,Mixed Team,"3,50,000",10%,"35,00,000",,,1,,,,,,1,"3,50,000",
414,6,9,Pipsnacks,Yes,Food and Beverage,Mixed Team,"2,00,000",10%,"20,00,000",1,,,,,,,,1,"2,00,000",plus a 10% draw whenever founders take cash out until she recoups her investment
415,6,9,Storm Stoppers,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
416,6,10,MagicCook,Yes,Food and Beverage,Female,"1,00,000",33%,"3,03,030",,,,,1,,,,1,"1,00,000",
417,6,10,Earth Log,Yes,Lifestyle / Home,Male,"1,60,000",30%,"5,33,333",,,1,,,,,,1,"1,60,000",
418,6,10,Kitchen Safe,Yes,Food and Beverage,Male,"1,00,000",20%,"5,00,000",,,1,,,,,1,2,"50,000",
419,6,10,Off the Cob,No,Food and Beverage,Male,,,,,,,,,,,,0,,
420,6,11,Biaggi,Yes,Lifestyle / Home,Male,"5,00,000",33%,"15,15,152",,,1,,,,,,1,"5,00,000",
421,6,11,Gameday Couture,Yes,Fashion / Beauty,Mixed Team,"5,00,000",30%,"16,66,667",,1,,,,,,,1,"5,00,000",
422,6,11,Zipz,Yes,Food and Beverage,Male,"25,00,000",10%,"2,50,00,000",,,,,,1,,,1,"25,00,000",with an option for another 2.5 Million for an additional 10%
423,6,11,Soaps Washes and Grooming Essentials (aka S.W.A.G. Essentials),No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
424,6,12,Hoppy Paws,Yes,Lifestyle / Home,Female,"1,00,000",49%,"2,04,082",1,,,,,,,,1,"1,00,000",
425,6,12,Q-Flex,Yes,Healthcare,Female,"25,000",25%,"1,00,000",1,1,,,,,,,2,"12,500",
426,6,12,The Mensch on a Bench,Yes,Lifestyle / Home,Male,"1,50,000",15%,"10,00,000",,,1,1,,,,,2,"75,000",
427,6,12,Eve Drop,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
428,6,13,Bantam Bagels,Yes,Food and Beverage,Mixed Team,"2,75,000",25%,"11,00,000",,,1,,,,,,1,"2,75,000",
429,6,13,Doorman,Yes,Lifestyle / Home,Male,"2,50,000",12%,"20,83,333",,,,1,,,,,1,"2,50,000",
430,6,13,SkinnyShirt,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
431,6,13,Coffee Meets Bagel,No,Software / Tech,Female,,,,,,,,,,,,0,,
432,6,14,Evrewares,Yes,Fashion / Beauty,Female,"2,00,000",100%,"2,00,000",,1,,,,,,,1,"2,00,000",
433,6,14,Bottle Bright,Yes,Lifestyle / Home,Male,"75,000",33%,"2,27,273",,,1,,,,,,1,"75,000",
434,6,14,Scratch & Grain Baking Co,Yes,Food and Beverage,Female,"1,50,000",20%,"7,50,000",1,,,,,,,,1,"1,50,000",Done as a line of credit
435,6,14,Vestpakz,No,Children / Education,Male,,,,,,,,,,,,0,,
436,6,15,TurboPUP,Yes,Pet Products,Mixed Team,"1,00,000",35%,"2,85,714",,,,,1,,,,1,"1,00,000",
437,6,15,Lumio,Yes,Lifestyle / Home,Male,"3,50,000",10%,"35,00,000",,,,1,,,,,1,"3,50,000",
438,6,15,Bello Verde,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
439,6,15,Napwell,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
440,6,16,GreenBox,Yes,Food and Beverage,Mixed Team,"3,00,000",10%,"30,00,000",,,,,,1,,,1,"3,00,000",
441,6,16,Phonesoap,Yes,Software / Tech,Male,"3,00,000",10%,"30,00,000",,,1,,,,,,1,"3,00,000",
442,6,16,Victoria's Kitchen,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
443,6,16,Tycoon Real Estate,No,Software / Tech,Mixed Team,,,,,,,,,,,,0,,
444,6,17,Fresh Patch,Yes,Pet Products,Mixed Team,"1,50,000",20%,"7,50,000",1,1,,,,,,,2,"75,000",
445,6,17,Drain Strain,Yes,Lifestyle / Home,Male,"1,10,000",10%,"11,00,000",,,,1,,,,,1,"1,10,000",
446,6,17,Balm Chicky Balm Balm,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
447,6,17,BedJet,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
448,6,18,BeverageBoy,Yes,Food and Beverage,Male,"50,000",35%,"1,42,857",,,,,1,,,,1,"50,000",
449,6,18,FunBites,Yes,Children / Education,Female,"75,000",25%,"3,00,000",,,1,,,,,,1,"75,000",
450,6,18,The Lip Bar,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
451,6,18,Himalayan Dog Chew,No,Pet Products,Male,,,,,,,,,,,,0,,
452,6,19,Boobypack,Yes,Fashion / Beauty,Female,"80,000",25%,"3,20,000",1,,,,,,,,1,"80,000",
453,6,19,Gold Rush Nugget Bucket,Yes,Children / Education,Male,"60,000",25%,"2,40,000",,,,1,,,,,1,"60,000",
454,6,19,Sseko Designs,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
455,6,19,Lumi,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
456,6,20,LuminAid,Yes,Consumer Products,Female,"3,00,000",15%,"20,00,000",,1,,,,,,,1,"3,00,000",
457,6,20,Scholly,Yes,Children / Education,Male,"40,000",15%,"2,66,667",,,,,,,,,0,#DIV/0!,
458,6,20,Keen Home,Yes,Lifestyle / Home,Male,"7,50,000",13%,"57,69,231",,,,1,,,,,1,"7,50,000",
459,6,20,Taaluma,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
460,6,21,Coco Jack,Yes,Food and Beverage,Male,"1,25,000",25%,"5,00,000",,1,,,,,,,1,"1,25,000",125k in convertible debt for 25% of the company with 7% interest
461,6,21,BedRyder,No,Consumer Products,Male,,,,,,,,,,,,0,,
462,6,21,Frill,Yes,Fashion / Beauty,Female,"1,00,000",20%,"5,00,000",1,,,,,1,,,2,"50,000",
463,6,21,Twin Z Pillow,Yes,Children / Education,Mixed Team,"75,000",20%,"3,75,000",,,1,,,,,,1,"75,000",
464,6,22,Echo Valley Meats,Yes,Food and Beverage,Male,"1,50,000",25%,"6,00,000",,1,,,,,,,1,"1,50,000",
465,6,22,Emazing Lights,Yes,Media / Entertainment,Male,"6,50,000",5%,"1,30,00,000",,1,,,1,,,,2,"3,25,000",plus 20% commission on any license deals they bring
466,6,22,acqua vault,Yes,Lifestyle / Home,Male,"75,000",25%,"3,00,000",,,,,1,,,,1,"75,000",
467,6,22,Naja,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
468,6,23,Bee Sweet Lemonade,Yes,Food and Beverage,Mixed Team,"60,000",25%,"2,40,000",,,,,1,,,,1,"60,000",
469,6,23,Brand Yourself,No,Software / Tech,Male,,,,,,,,,,,,0,,
470,6,23,iC Pooch,No,Pet Products,Mixed Team,,,,,,,,,,,,0,,
471,6,23,The Home T,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
472,6,24,Budsies,No,Children / Education,Male,,,,,,,,,,,,0,,
473,6,24,bee thinking,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
474,6,24,PullyPalz,Yes,Children / Education,Female,"1,00,000",28%,"3,57,143",,,1,,,,,,1,"1,00,000",
475,6,24,Forus,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
476,6,25,NeatCheeks,Yes,Children / Education,Female,"1,50,000",25%,"6,00,000",1,,,,,,,,1,"1,50,000",
477,6,25,Melni,Yes,Uncertain / Other,Male,"5,00,000",12%,"41,66,667",,1,,,,,,,1,"5,00,000",
478,6,25,Beneath the Ink,No,Software / Tech,Mixed Team,,,,,,,,,,,,0,,
479,6,25,PittMoss,Yes,Green/CleanTech,Male,"6,00,000",35%,"17,14,286",,1,,1,,1,,,3,"2,00,000",
480,6,26,ZinePak,Yes,Media / Entertainment,Female,"7,25,000",18%,"41,42,857",,,1,1,,,,,2,"3,62,500",
481,6,26,snagastool,No,Software / Tech,Male,,,,,,,,,,,,0,,
482,6,26,Buck Mason,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,Declined Robert's offer
483,6,26,Noene,Yes,Fashion / Beauty,Male,"2,00,000",30%,"6,66,667",,1,,,1,,,,2,"1,00,000",
484,6,27,AirCar,Yes,Green/CleanTech,Male,"50,00,000",50%,"1,00,00,000",,,,1,,,,,1,"50,00,000",Contingent on getting deal to bring to continental US
485,6,27,Paleo Diet Foods,No,Food and Beverage,Female,,,,,,,,,,,,0,,
486,6,27,World Record Striper Company,Yes,Fitness / Sports,Male,"50,000",33%,"1,51,515",,1,,,,,,,1,"50,000",
487,6,27,Frameri,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
488,6,28,Zoom,Yes,Lifestyle / Home,Female,"1,00,000",33%,"3,03,030",1,,,,,,,,1,"1,00,000",
489,6,28,Sunscreen Mist,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
490,6,28,SynDaver Labs,Yes,Healthcare,Male,"30,00,000",25%,"1,20,00,000",,,,1,,,,,1,"30,00,000",
491,6,28,You Kick Ass,Yes,Children / Education,Female,"1,00,000",10%,"10,00,000",,1,,,,,,,1,"1,00,000",
492,6,29,Shark Wheel,Yes,Fitness / Sports,Male,"2,25,000",8%,"30,00,000",,1,,1,,,,1,3,"75,000",10% royalty until 500K; then converts to 5% equity
493,6,29,Gato Cafe,No,Uncertain / Other,Female,,,,,,,,,,,,0,,
494,6,29,Sway Motorsports,Yes,Green/CleanTech,Male,"3,00,000",20%,"15,00,000",,1,,,,,,,1,"3,00,000",
495,6,29,Spikeball,Yes,Fitness / Sports,Male,"5,00,000",20%,"25,00,000",,,,,1,,,,1,"5,00,000",
